R,Method,Constraint,rel_risk,n
0.1,"StochOptForest
(apx-risk)",no,1.312509713108726,400
0.1,"StochOptForest
(apx-risk)",no,1.2244027534281086,400
0.1,"StochOptForest
(apx-risk)",no,2.19604966874893,400
0.1,"StochOptForest
(apx-risk)",no,1.3400121342988323,400
0.1,"StochOptForest
(apx-risk)",no,1.3134852976828424,400
0.1,"StochOptForest
(apx-risk)",no,1.309094957911418,400
0.1,"StochOptForest
(apx-risk)",no,1.421390258498619,400
0.1,"StochOptForest
(apx-risk)",no,1.186152370325435,400
0.1,"StochOptForest
(apx-risk)",no,1.011977837510316,400
0.1,"StochOptForest
(apx-risk)",no,1.1532356249427573,400
0.1,"StochOptForest
(apx-risk)",no,1.1926283778943017,400
0.1,"StochOptForest
(apx-risk)",no,1.189581370576814,400
0.1,"StochOptForest
(apx-risk)",no,1.1652633124263514,400
0.1,"StochOptForest
(apx-risk)",no,1.231558237747299,400
0.1,"StochOptForest
(apx-risk)",no,1.1626956096257295,400
0.1,"StochOptForest
(apx-risk)",no,1.173496602574142,400
0.1,"StochOptForest
(apx-risk)",no,1.2654178611647817,400
0.1,"StochOptForest
(apx-risk)",no,1.2408883187093485,400
0.1,"StochOptForest
(apx-risk)",no,1.1651685625783044,400
0.1,"StochOptForest
(apx-risk)",no,1.3753323653446672,400
0.1,"StochOptForest
(apx-risk)",no,1.1388782444105876,400
0.1,"StochOptForest
(apx-risk)",no,1.1195675857061191,400
0.1,"StochOptForest
(apx-risk)",no,1.303178731232481,400
0.1,"StochOptForest
(apx-risk)",no,1.313354981710122,400
0.1,"StochOptForest
(apx-risk)",no,1.1760788964461135,400
0.1,"StochOptForest
(apx-risk)",no,1.3027793951542734,400
0.1,"StochOptForest
(apx-risk)",no,1.302801238684364,400
0.1,"StochOptForest
(apx-risk)",no,1.1171882490431502,400
0.1,"StochOptForest
(apx-risk)",no,1.2058364371595836,400
0.1,"StochOptForest
(apx-risk)",no,1.3005422239715703,400
0.1,"StochOptForest
(apx-risk)",no,1.5800518169145752,400
0.1,"StochOptForest
(apx-risk)",no,1.2325108373245528,400
0.1,"StochOptForest
(apx-risk)",no,1.6012500335876159,400
0.1,"StochOptForest
(apx-risk)",no,1.3115398708151964,400
0.1,"StochOptForest
(apx-risk)",no,1.5752669111074438,400
0.1,"StochOptForest
(apx-risk)",no,1.402343405083065,400
0.1,"StochOptForest
(apx-risk)",no,1.2735558746747035,400
0.1,"StochOptForest
(apx-risk)",no,1.3555573796430473,400
0.1,"StochOptForest
(apx-risk)",no,1.1840032961624347,400
0.1,"StochOptForest
(apx-risk)",no,1.254063178000649,400
0.1,RandSplitForest,no,2.1785786872142308,400
0.1,RandSplitForest,no,4.1519881315725256,400
0.1,RandSplitForest,no,2.4333225390921664,400
0.1,RandSplitForest,no,2.999738313612031,400
0.1,RandSplitForest,no,2.6495106513730815,400
0.1,RandSplitForest,no,2.455336555911496,400
0.1,RandSplitForest,no,2.5920730945410817,400
0.1,RandSplitForest,no,2.4870063852956954,400
0.1,RandSplitForest,no,2.2721404378545302,400
0.1,RandSplitForest,no,2.6178817324935197,400
0.1,RandSplitForest,no,2.3682082262851445,400
0.1,RandSplitForest,no,2.329066179947053,400
0.1,RandSplitForest,no,2.4242971513604576,400
0.1,RandSplitForest,no,2.631905315286149,400
0.1,RandSplitForest,no,2.5132777109070013,400
0.1,RandSplitForest,no,2.964317764948497,400
0.1,RandSplitForest,no,2.8978283673393825,400
0.1,RandSplitForest,no,1.887335552780334,400
0.1,RandSplitForest,no,2.3023619835119984,400
0.1,RandSplitForest,no,2.39327361884486,400
0.1,RandSplitForest,no,2.3721605239748724,400
0.1,RandSplitForest,no,2.4127024677626356,400
0.1,RandSplitForest,no,2.300101211096247,400
0.1,RandSplitForest,no,2.2983482117999396,400
0.1,RandSplitForest,no,2.424592950738883,400
0.1,RandSplitForest,no,3.0750388924907384,400
0.1,RandSplitForest,no,2.545085819617067,400
0.1,RandSplitForest,no,2.819992341385267,400
0.1,RandSplitForest,no,2.209385550643552,400
0.1,RandSplitForest,no,2.641107081687752,400
0.1,RandSplitForest,no,2.3843181112913343,400
0.1,RandSplitForest,no,2.1608355061320688,400
0.1,RandSplitForest,no,3.3006465606753355,400
0.1,RandSplitForest,no,2.857322409115398,400
0.1,RandSplitForest,no,2.2453874863111842,400
0.1,RandSplitForest,no,2.965446074243234,400
0.1,RandSplitForest,no,2.0268666164580584,400
0.1,RandSplitForest,no,2.445967073919168,400
0.1,RandSplitForest,no,2.2056112231169385,400
0.1,RandSplitForest,no,2.115136374554268,400
0.1,RandSplitForest,no,2.6821164113445537,400
0.1,RandSplitForest,no,2.2511890164927766,400
0.1,RandSplitForest,no,2.430517146957147,400
0.1,RandSplitForest,no,3.09285470068259,400
0.1,RandSplitForest,no,2.559765815402603,400
0.1,RandSplitForest,no,2.644075073576914,400
0.1,RandSplitForest,no,2.62381608703711,400
0.1,RandSplitForest,no,2.60608370417177,400
0.1,RandSplitForest,no,2.463970963990735,400
0.1,RandSplitForest,no,2.3294284426442244,400
0.1,RandForest,no,1.69966736097364,400
0.1,RandForest,no,2.6066579694651124,400
0.1,RandForest,no,1.8418968359068926,400
0.1,RandForest,no,2.0686141388721406,400
0.1,RandForest,no,1.6783756873128293,400
0.1,RandForest,no,1.8866112572599025,400
0.1,RandForest,no,1.8805388349689274,400
0.1,RandForest,no,1.932591447784877,400
0.1,RandForest,no,1.7950382338703494,400
0.1,RandForest,no,2.4363301783250995,400
0.1,RandForest,no,1.9073063973487137,400
0.1,RandForest,no,1.9289201164509147,400
0.1,RandForest,no,2.0265242629744953,400
0.1,RandForest,no,2.1858370195314323,400
0.1,RandForest,no,2.2024025127926725,400
0.1,RandForest,no,2.440805698638538,400
0.1,RandForest,no,2.007151723951207,400
0.1,RandForest,no,1.6380539324153196,400
0.1,RandForest,no,1.8139547160101739,400
0.1,RandForest,no,1.7839493977651502,400
0.1,RandForest,no,2.1478486180251637,400
0.1,RandForest,no,2.0715087001825463,400
0.1,RandForest,no,1.9795890490155548,400
0.1,RandForest,no,1.6208369361461183,400
0.1,RandForest,no,2.0422688602549854,400
0.1,RandForest,no,25.777007573624562,400
0.1,RandForest,no,2.2714667701479594,400
0.1,RandForest,no,2.12314047903548,400
0.1,RandForest,no,1.7069371849641741,400
0.1,RandForest,no,2.120173121350272,400
0.1,RandForest,no,2.025834637612445,400
0.1,RandForest,no,1.918152817440204,400
0.1,RandForest,no,2.9227285428346303,400
0.1,RandForest,no,2.356859004768625,400
0.1,RandForest,no,1.8851048275674627,400
0.1,RandForest,no,1.818406984745889,400
0.1,RandForest,no,1.7863079170995262,400
0.1,RandForest,no,2.133577700265791,400
0.1,RandForest,no,1.979414385075223,400
0.1,RandForest,no,1.678085969883539,400
0.1,RandForest,no,2.465823377898065,400
0.1,RandForest,no,1.9950035293075243,400
0.1,RandForest,no,2.054383250344798,400
0.1,RandForest,no,2.2377671602973024,400
0.1,RandForest,no,2.2275939851713806,400
0.1,RandForest,no,2.3097537941697257,400
0.1,RandForest,no,2.172590229978108,400
0.1,RandForest,no,2.198983199893595,400
0.1,RandForest,no,2.198283324003323,400
0.1,RandForest,no,3.310540729782935,400
0.3,"StochOptForest
(apx-soln)",yes,1.3055164817944982,400
0.3,"StochOptForest
(apx-soln)",yes,1.2025752257370852,400
0.3,"StochOptForest
(apx-soln)",yes,1.2348351279035044,400
0.3,"StochOptForest
(apx-soln)",yes,1.4717745093464132,400
0.3,"StochOptForest
(apx-soln)",yes,1.2807309438944037,400
0.3,"StochOptForest
(apx-soln)",yes,1.730285942235602,400
0.3,"StochOptForest
(apx-soln)",yes,1.2334129313653739,400
0.3,"StochOptForest
(apx-soln)",yes,1.2887223730241737,400
0.3,"StochOptForest
(apx-soln)",yes,1.3321015413220594,400
0.3,"StochOptForest
(apx-soln)",yes,1.1950798035728676,400
0.3,"StochOptForest
(apx-soln)",yes,1.490391842864409,400
0.3,"StochOptForest
(apx-soln)",yes,1.2946726108310047,400
0.3,"StochOptForest
(apx-soln)",yes,1.3822671837828295,400
0.3,"StochOptForest
(apx-soln)",yes,1.329930349113273,400
0.3,"StochOptForest
(apx-soln)",yes,1.2229803775387398,400
0.3,"StochOptForest
(apx-soln)",yes,1.3601502694208791,400
0.3,"StochOptForest
(apx-soln)",yes,1.2771200784786418,400
0.3,"StochOptForest
(apx-soln)",yes,1.2436167922795953,400
0.3,"StochOptForest
(apx-soln)",yes,1.2155694413678375,400
0.3,"StochOptForest
(apx-soln)",yes,1.2843856469671424,400
0.3,"StochOptForest
(apx-soln)",yes,1.2656537509507408,400
0.3,"StochOptForest
(apx-soln)",yes,1.3840231974699317,400
0.3,"StochOptForest
(apx-soln)",yes,1.5166758600379793,400
0.3,"StochOptForest
(apx-soln)",yes,1.548303100035958,400
0.3,"StochOptForest
(apx-soln)",yes,1.7194181208877006,400
0.3,"StochOptForest
(apx-soln)",yes,1.3243492078210939,400
0.3,"StochOptForest
(apx-soln)",yes,1.625985512791807,400
0.3,"StochOptForest
(apx-soln)",yes,1.2938731326566406,400
0.3,"StochOptForest
(apx-soln)",yes,1.3870837424259637,400
0.3,"StochOptForest
(apx-soln)",yes,1.567600151085168,400
0.3,"StochOptForest
(apx-soln)",yes,1.3804444842826122,400
0.3,"StochOptForest
(apx-soln)",yes,1.171547670742757,400
0.3,"StochOptForest
(apx-soln)",yes,1.3845907530278747,400
0.3,"StochOptForest
(apx-soln)",yes,1.509748249531003,400
0.3,"StochOptForest
(apx-soln)",yes,1.333415555469654,400
0.3,"StochOptForest
(apx-soln)",yes,1.1897049247902463,400
0.3,"StochOptForest
(apx-soln)",yes,1.5181948089735766,400
0.3,"StochOptForest
(apx-soln)",yes,1.2919991926087353,400
0.3,"StochOptForest
(apx-soln)",yes,1.3450998961700524,400
0.3,"StochOptForest
(apx-soln)",yes,1.4292162909028163,400
0.3,"StochOptForest
(apx-soln)",yes,1.6896887340533313,400
0.3,"StochOptForest
(apx-soln)",yes,1.3974330465436402,400
0.3,"StochOptForest
(apx-soln)",yes,1.2340889986166965,400
0.3,"StochOptForest
(apx-soln)",yes,1.4735060136158218,400
0.3,"StochOptForest
(apx-soln)",yes,1.353135958134305,400
0.3,"StochOptForest
(apx-soln)",yes,1.1787915479376097,400
0.3,"StochOptForest
(apx-soln)",yes,1.5804224250914916,400
0.3,"StochOptForest
(apx-soln)",yes,1.26015836242989,400
0.3,"StochOptForest
(apx-soln)",yes,1.4147373596579125,400
0.3,"StochOptForest
(apx-soln)",yes,1.2096672491322107,400
0.3,"StochOptForest
(apx-soln)",no,2.418547090075485,400
0.3,"StochOptForest
(apx-soln)",no,2.5788059532872856,400
0.3,"StochOptForest
(apx-soln)",no,2.3544086642188384,400
0.3,"StochOptForest
(apx-soln)",no,2.369273789597086,400
0.3,"StochOptForest
(apx-soln)",no,2.74279363439489,400
0.3,"StochOptForest
(apx-soln)",no,2.4547564316334936,400
0.3,"StochOptForest
(apx-soln)",no,2.8432178659300127,400
0.3,"StochOptForest
(apx-soln)",no,3.477907110175323,400
0.3,"StochOptForest
(apx-soln)",no,2.476814655241853,400
0.3,"StochOptForest
(apx-soln)",no,2.3315390833668284,400
0.3,"StochOptForest
(apx-soln)",no,2.9390471169196637,400
0.3,"StochOptForest
(apx-soln)",no,3.027317829947755,400
0.3,"StochOptForest
(apx-soln)",no,3.1081742932025187,400
0.3,"StochOptForest
(apx-soln)",no,2.390968124638202,400
0.3,"StochOptForest
(apx-soln)",no,2.4290336955588803,400
0.3,"StochOptForest
(apx-soln)",no,2.6934829964569107,400
0.3,"StochOptForest
(apx-soln)",no,3.288977949027291,400
0.3,"StochOptForest
(apx-soln)",no,4.064993553075015,400
0.3,"StochOptForest
(apx-soln)",no,2.1749442378195414,400
0.3,"StochOptForest
(apx-soln)",no,2.3379523707122254,400
0.3,"StochOptForest
(apx-soln)",no,2.288223793982319,400
0.3,"StochOptForest
(apx-soln)",no,3.0354004623574045,400
0.3,"StochOptForest
(apx-soln)",no,2.9879756682878464,400
0.3,"StochOptForest
(apx-soln)",no,2.8943649512632246,400
0.3,"StochOptForest
(apx-soln)",no,2.9933169678085427,400
0.3,"StochOptForest
(apx-soln)",no,2.178044328097242,400
0.3,"StochOptForest
(apx-soln)",no,2.539609736855807,400
0.3,"StochOptForest
(apx-soln)",no,2.8258272370835047,400
0.3,"StochOptForest
(apx-soln)",no,2.4107887505177787,400
0.3,"StochOptForest
(apx-soln)",no,3.0825405826871353,400
0.3,"StochOptForest
(apx-soln)",no,2.634093414466234,400
0.3,"StochOptForest
(apx-soln)",no,2.6255663220227747,400
0.3,"StochOptForest
(apx-soln)",no,2.4389107492306925,400
0.3,"StochOptForest
(apx-soln)",no,2.505798648252745,400
0.3,"StochOptForest
(apx-soln)",no,2.7073878150702204,400
0.3,"StochOptForest
(apx-soln)",no,2.748100563276194,400
0.3,"StochOptForest
(apx-soln)",no,3.015657149050431,400
0.3,"StochOptForest
(apx-soln)",no,2.370437491157908,400
0.3,"StochOptForest
(apx-soln)",no,2.4193296856367748,400
0.3,"StochOptForest
(apx-soln)",no,3.0192224566581976,400
0.3,"StochOptForest
(apx-soln)",no,2.992940394362911,400
0.3,"StochOptForest
(apx-soln)",no,2.387273617362995,400
0.3,"StochOptForest
(apx-soln)",no,2.7162779115561517,400
0.3,"StochOptForest
(apx-soln)",no,3.0071418380352672,400
0.3,"StochOptForest
(apx-soln)",no,2.4549068202438162,400
0.3,"StochOptForest
(apx-soln)",no,2.3815723882987547,400
0.3,"StochOptForest
(apx-soln)",no,2.9619126674534217,400
0.3,"StochOptForest
(apx-soln)",no,2.874039690975344,400
0.3,"StochOptForest
(apx-soln)",no,2.5106809957384733,400
0.3,"StochOptForest
(apx-soln)",no,2.451174425409202,400
0.3,"StochOptForest
(apx-risk)",yes,1.1763491654576992,400
0.3,"StochOptForest
(apx-risk)",yes,1.1703682460292368,400
0.3,"StochOptForest
(apx-risk)",yes,1.1659365373516932,400
0.3,"StochOptForest
(apx-risk)",yes,1.3747284824768784,400
0.3,"StochOptForest
(apx-risk)",yes,1.166210111570642,400
0.3,"StochOptForest
(apx-risk)",yes,2.1252601765618806,400
0.3,"StochOptForest
(apx-risk)",yes,1.3079209086244512,400
0.3,"StochOptForest
(apx-risk)",yes,1.219901202512,400
0.3,"StochOptForest
(apx-risk)",yes,1.246927514078826,400
0.3,"StochOptForest
(apx-risk)",yes,1.0698202656458276,400
0.3,"StochOptForest
(apx-risk)",yes,1.5577393062101739,400
0.3,"StochOptForest
(apx-risk)",yes,1.3407114593049698,400
0.3,"StochOptForest
(apx-risk)",yes,1.2111227953031642,400
0.3,"StochOptForest
(apx-risk)",yes,1.3047576201587456,400
0.3,"StochOptForest
(apx-risk)",yes,1.2026164240207287,400
0.3,"StochOptForest
(apx-risk)",yes,1.223275524454726,400
0.3,"StochOptForest
(apx-risk)",yes,1.2062643289723043,400
0.3,"StochOptForest
(apx-risk)",yes,1.3223203509124901,400
0.3,"StochOptForest
(apx-risk)",yes,1.3955102284873526,400
0.3,"StochOptForest
(apx-risk)",yes,1.4249806531987057,400
