n,Method,rel_risk,p
200,"StochOptForest
(apx-risk)",1.8944002555480344,10
200,"StochOptForest
(apx-risk)",1.5188095885706494,10
200,"StochOptForest
(apx-risk)",1.2238661941278048,10
200,"StochOptForest
(apx-risk)",1.6670548272080117,10
200,"StochOptForest
(apx-risk)",1.3147462251492719,10
200,"StochOptForest
(apx-risk)",1.2455849347567605,10
200,"StochOptForest
(apx-risk)",1.4934023798450184,10
200,"StochOptForest
(apx-risk)",1.5654690116842473,10
200,"StochOptForest
(apx-risk)",1.4459549002064342,10
200,"StochOptForest
(apx-risk)",1.4163715258005116,10
200,"StochOptForest
(apx-risk)",1.4543699429862538,10
200,"StochOptForest
(apx-risk)",1.2017003482634259,10
200,"StochOptForest
(apx-risk)",1.4312044375039792,10
200,"StochOptForest
(apx-risk)",1.6354137549533279,10
200,"StochOptForest
(apx-risk)",1.3781482048279394,10
200,"StochOptForest
(apx-risk)",1.2952525771087193,10
200,"StochOptForest
(apx-risk)",1.3830602305924362,10
200,"StochOptForest
(apx-risk)",1.6443827431930418,10
200,"StochOptForest
(apx-risk)",1.191955117804019,10
200,"StochOptForest
(apx-risk)",1.1015409790710848,10
200,"StochOptForest
(apx-risk)",1.2540836918396698,10
200,"StochOptForest
(apx-risk)",1.475747174410134,10
200,"StochOptForest
(apx-risk)",1.1698163684268181,10
200,"StochOptForest
(apx-risk)",1.1464284481855815,10
200,"StochOptForest
(apx-risk)",1.231470811474628,10
200,"StochOptForest
(apx-risk)",1.2373770142788,10
200,"StochOptForest
(apx-risk)",1.2910618079334455,10
200,"StochOptForest
(apx-risk)",1.8920526576808079,10
200,"StochOptForest
(apx-risk)",1.1722759598994974,10
200,"StochOptForest
(apx-risk)",1.3267000855605677,10
200,"StochOptForest
(apx-risk)",1.5420456942800178,10
200,"StochOptForest
(apx-risk)",1.1789611646968905,10
200,"StochOptForest
(apx-risk)",1.3513584515106345,10
200,"StochOptForest
(apx-risk)",1.2637490359372294,10
200,"StochOptForest
(apx-risk)",1.174915281626576,10
200,"StochOptForest
(apx-risk)",1.3414910921855534,10
200,"StochOptForest
(apx-risk)",1.4248910070663974,10
200,"StochOptForest
(apx-risk)",1.6725450542119704,10
200,"StochOptForest
(apx-risk)",1.2079654298708251,10
200,"StochOptForest
(apx-risk)",1.2951276045655309,10
200,"StochOptForest
(apx-risk)",1.2876489199014018,10
200,"StochOptForest
(apx-risk)",1.3763799074195417,10
200,"StochOptForest
(apx-risk)",1.6506255656965063,10
200,"StochOptForest
(apx-risk)",1.2316362285991673,10
200,"StochOptForest
(apx-risk)",1.4673560691914938,10
200,"StochOptForest
(apx-risk)",2.0634269247622643,10
200,"StochOptForest
(apx-risk)",1.2204723980531402,10
200,RandForest,1.8488122179892843,10
200,RandForest,1.9263142311496328,10
200,RandForest,1.4482991543046768,10
200,RandForest,2.011089315003312,10
200,RandForest,1.7333764044143258,10
200,RandForest,1.3820590800282588,10
200,RandForest,2.043344027540099,10
200,RandForest,1.5856719335710792,10
200,RandForest,1.2524478533593826,10
200,RandForest,1.8036515343109636,10
200,RandForest,1.627330376476099,10
200,RandForest,1.4739908425734765,10
200,RandForest,1.441337891789328,10
200,RandForest,1.4957425344110589,10
200,RandForest,1.3405191012382176,10
200,RandForest,1.5769058625155008,10
200,RandForest,1.593269864283676,10
200,RandForest,1.3017479940686554,10
200,RandForest,1.3383877795847587,10
200,RandForest,1.3618103097281329,10
200,RandForest,1.5161348922736178,10
200,RandForest,1.4568888656775798,10
200,RandForest,1.2211100993860955,10
200,RandForest,1.2780950935496431,10
200,RandForest,1.596695094115751,10
200,RandForest,1.2774197792575073,10
200,RandForest,1.1805263721790744,10
200,RandForest,1.2678634224180996,10
200,RandForest,1.340329763668526,10
200,RandForest,1.369804055387662,10
200,RandForest,2.3216084823306096,10
200,RandForest,1.2147460020422949,10
200,RandForest,1.8659438345815844,10
200,RandForest,1.9056145984074244,10
200,RandForest,1.190440343400706,10
200,RandForest,1.2972892343511873,10
200,RandForest,1.4132669643144984,10
200,RandForest,1.5979466578298707,10
200,RandForest,1.2661550237942891,10
200,RandForest,1.4832772745778913,10
200,RandForest,1.864390961240866,10
200,RandForest,1.235925203431272,10
200,RandForest,1.4634732111887452,10
200,RandForest,1.322893636147796,10
200,RandForest,1.461199394835518,10
200,RandForest,2.0156201843328576,10
200,RandForest,1.4775465627409272,10
200,RandForest,1.61141793500075,10
200,RandForest,2.262675522642026,10
200,RandForest,1.2704322705071418,10
200,GenRandForest,1.6684269821334416,10
200,GenRandForest,1.9331185733962464,10
200,GenRandForest,1.4128296061552512,10
200,GenRandForest,1.9851981346932692,10
200,GenRandForest,1.6158737479871566,10
200,GenRandForest,1.3510936104189952,10
200,GenRandForest,1.7716302931366616,10
200,GenRandForest,1.4531790477785604,10
200,GenRandForest,1.308426386332079,10
200,GenRandForest,1.629272906095326,10
200,GenRandForest,1.6589724116383247,10
200,GenRandForest,1.5320020704511967,10
200,GenRandForest,1.5914392003947013,10
200,GenRandForest,1.536828142125589,10
200,GenRandForest,1.300592404913597,10
200,GenRandForest,1.5825674881607557,10
200,GenRandForest,1.688605140021157,10
200,GenRandForest,1.3691254156765291,10
200,GenRandForest,1.4480779124073124,10
200,GenRandForest,1.4514618681256795,10
200,GenRandForest,1.6530452407509242,10
200,GenRandForest,1.4023809296807845,10
200,GenRandForest,1.2540412228699167,10
200,GenRandForest,1.281586634045197,10
200,GenRandForest,1.614982971594191,10
200,GenRandForest,1.2470629136290705,10
200,GenRandForest,1.2231901489324952,10
200,GenRandForest,1.3636941815042762,10
200,GenRandForest,1.3063741011900236,10
200,GenRandForest,1.382986244297583,10
200,GenRandForest,2.4522135210198948,10
200,GenRandForest,1.2256552919386914,10
200,GenRandForest,1.8865627899552917,10
200,GenRandForest,1.724234836690876,10
200,GenRandForest,1.3116197028810903,10
200,GenRandForest,1.410480311494071,10
200,GenRandForest,1.410276049165483,10
200,GenRandForest,1.3502049650694639,10
200,GenRandForest,1.484217489078925,10
200,GenRandForest,1.4836282215558272,10
200,GenRandForest,1.816184588823623,10
200,GenRandForest,1.2275182063419823,10
200,GenRandForest,1.6474301013973227,10
200,GenRandForest,1.3148319423110395,10
200,GenRandForest,1.4669950371304754,10
200,GenRandForest,1.946582578161168,10
