p,Method,rel_risk
10,"StochOptForest
(apx-risk)",1.2952555060515976
10,"StochOptForest
(apx-risk)",1.0907153119831412
10,"StochOptForest
(apx-risk)",1.09083344760045
10,"StochOptForest
(apx-risk)",1.2133432336180532
10,"StochOptForest
(apx-risk)",1.2032487893854273
10,"StochOptForest
(apx-risk)",1.3003257353911595
10,"StochOptForest
(apx-risk)",1.1769044360327023
10,"StochOptForest
(apx-risk)",1.1080476376212862
10,"StochOptForest
(apx-risk)",1.0700170091854881
10,"StochOptForest
(apx-risk)",1.249884236608534
10,"StochOptForest
(apx-risk)",1.0772449120749878
10,"StochOptForest
(apx-risk)",1.1808666472682083
10,5-NN,2.046745495488293
10,5-NN,2.237743199371288
10,5-NN,2.1817561429638177
10,5-NN,2.138928998675389
10,5-NN,2.1873474359252114
10,5-NN,2.2325862634837854
10,5-NN,1.9651817177746753
10,5-NN,2.6324494124622735
10,5-NN,2.536074006137084
10,5-NN,2.4088437217379624
10,5-NN,2.462208512140982
10,5-NN,2.5268159101906202
10,5-NN,1.922516497745619
10,5-NN,2.1521626369813665
10,5-NN,2.236798000249458
10,5-NN,2.2907028218079613
10,5-NN,2.707732529635024
10,5-NN,2.296470734249211
10,5-NN,2.140034785726483
10,5-NN,2.110541215881519
10,5-NN,2.285103540009361
10,5-NN,2.141080571247196
10,5-NN,2.4090843466844847
10,5-NN,2.1503170062183417
10,5-NN,2.2818008565406522
10,5-NN,2.539736536322666
10,5-NN,2.0972777408947634
10,5-NN,2.121826939442142
10,5-NN,2.0301877982364585
10,5-NN,2.370036654195973
10,5-NN,2.4121681259876113
10,5-NN,2.703837472224537
10,5-NN,2.5930891252335297
10,5-NN,2.1179354397766925
10,5-NN,2.348767653158012
10,5-NN,2.001452054191715
10,5-NN,2.26064681501878
10,5-NN,2.069471641958747
10,5-NN,2.9237257018419256
10,5-NN,2.043063475897527
10,5-NN,2.270665949420982
10,5-NN,2.304447160103894
10,5-NN,2.2033616407816896
10,5-NN,2.7248281802314653
10,5-NN,2.701850620383343
10,5-NN,2.057629500638585
10,5-NN,2.226660831687264
10,5-NN,2.2322947562886473
10,5-NN,2.0421811925180884
10,5-NN,2.192267802108784
10,10-NN,1.6179123975627108
10,10-NN,1.9801455697916965
10,10-NN,1.755741946890493
10,10-NN,1.6867793624238854
10,10-NN,1.7827722095873515
10,10-NN,1.7647031503364465
10,10-NN,1.7531703118439732
10,10-NN,2.2182066726561325
10,10-NN,1.9020387431598995
10,10-NN,1.7591451765290598
10,10-NN,2.1518834291352804
10,10-NN,1.924173660302028
10,10-NN,1.7350096970261217
