p,Method,rel_risk
10,"StochOptForest
(oracle)",1.1877867807205587
10,"StochOptForest
(oracle)",1.2544531354272352
10,"StochOptForest
(oracle)",1.4540776070839367
10,"StochOptForest
(oracle)",1.4533910977213738
10,"StochOptForest
(oracle)",1.1071570294327784
10,"StochOptForest
(oracle)",1.1676092975586585
10,"StochOptForest
(oracle)",1.1837455771865126
10,"StochOptForest
(oracle)",1.135290587905288
10,"StochOptForest
(oracle)",1.2685888063453303
10,"StochOptForest
(oracle)",1.1750891401179164
10,"StochOptForest
(oracle)",1.4998268449087235
10,"StochOptForest
(oracle)",1.2443253774834004
10,"StochOptForest
(oracle)",1.1722672445925533
10,"StochOptForest
(oracle)",1.2841473011671583
10,"StochOptForest
(oracle)",1.2286065239383945
10,"StochOptForest
(oracle)",1.4321570781029047
10,"StochOptForest
(oracle)",1.2312375710539891
10,"StochOptForest
(oracle)",1.774005905607875
10,"StochOptForest
(oracle)",1.2231906672311996
10,"StochOptForest
(oracle)",1.3086447381577528
10,"StochOptForest
(oracle)",1.3564711077271152
10,"StochOptForest
(oracle)",1.3731343404870886
10,"StochOptForest
(oracle)",1.2753108481861828
10,"StochOptForest
(oracle)",1.1955935992748408
10,"StochOptForest
(oracle)",1.2842668293761812
10,"StochOptForest
(oracle)",1.3630980369589758
10,"StochOptForest
(oracle)",1.2593005931694132
10,"StochOptForest
(oracle)",1.168431224796895
10,"StochOptForest
(oracle)",1.3857239235224792
10,"StochOptForest
(oracle)",1.4220282281048184
10,"StochOptForest
(oracle)",1.1599061401690367
10,"StochOptForest
(oracle)",1.345033250882699
10,"StochOptForest
(oracle)",1.1865632929861896
10,"StochOptForest
(oracle)",1.1723807080310669
10,"StochOptForest
(oracle)",1.2096116179044916
10,"StochOptForest
(oracle)",1.1683588285002882
10,"StochOptForest
(oracle)",1.3231205869517126
10,"StochOptForest
(oracle)",1.302576116993529
10,"StochOptForest
(oracle)",1.2338561497483733
100,RandSplitForest,2.3810541556899896
100,RandSplitForest,2.608164581797406
100,RandSplitForest,2.7152072076143527
100,RandSplitForest,2.6792387739309027
100,RandSplitForest,2.769312323807794
100,RandSplitForest,2.6858619281242717
100,RandSplitForest,2.613386698883207
100,RandSplitForest,2.6155261957840237
100,RandSplitForest,2.830653033575784
100,RandSplitForest,2.7529303773312956
100,RandSplitForest,2.705177072243477
100,RandSplitForest,2.5894707974275963
100,RandSplitForest,2.813615750639052
100,RandSplitForest,2.7028834715282537
100,RandSplitForest,2.6537876095950392
100,RandSplitForest,2.6161004889610218
100,RandSplitForest,2.738478306143754
100,RandSplitForest,2.748352355597934
100,RandSplitForest,2.7709000002722854
100,RandSplitForest,2.604126350648758
100,RandSplitForest,2.9255341098359793
100,RandSplitForest,2.9599392636877164
100,RandSplitForest,2.5591333488720345
100,RandSplitForest,2.663593446530007
100,RandSplitForest,2.67016272626398
100,RandSplitForest,2.682828702462182
100,RandSplitForest,2.679573495582336
100,RandSplitForest,2.769925793129473
100,RandSplitForest,2.609917611273988
100,RandSplitForest,2.7625797602534856
100,RandSplitForest,2.6790711298486856
100,RandSplitForest,2.5677298793432906
100,RandSplitForest,2.699644702286224
100,RandSplitForest,2.700992789651027
100,RandSplitForest,2.7153424366924077
100,RandSplitForest,2.7063621524065367
100,RandSplitForest,2.6619170592595194
100,RandSplitForest,2.7019977825851664
100,RandSplitForest,2.692451604435586
100,RandSplitForest,2.5694194877282044
100,RandSplitForest,2.666269134129291
100,RandSplitForest,2.634404685711797
100,RandSplitForest,2.7967602325112133
100,RandSplitForest,2.6291386090859707
100,RandSplitForest,2.69453637099013
100,RandSplitForest,2.659060168604157
100,RandSplitForest,2.7054932518256627
100,RandSplitForest,2.595346710033849
100,RandSplitForest,2.706247927618629
100,RandSplitForest,2.6869130128969174
100,"StochOptForest
(apx-soln)",1.5161505236635164
100,"StochOptForest
(apx-soln)",1.5830120438775894
100,"StochOptForest
(apx-soln)",1.5830511010679424
100,"StochOptForest
(apx-soln)",1.3272223817404427
100,"StochOptForest
(apx-soln)",1.9675672995906484
